2026-05-16 11:48:11,313 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:48:15,412 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:48:19,478 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:48:23,541 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:48:27,618 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:48:31,694 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:48:35,770 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:48:39,832 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:48:43,897 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:48:47,999 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:48:52,051 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:48:56,167 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:00,262 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:04,333 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:08,431 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:12,526 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:16,588 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:20,680 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:24,736 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:28,838 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:32,913 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:36,993 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:41,061 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:45,145 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:49,220 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:53,253 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:49:57,349 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:01,416 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
